task_type,method,prompt,model_claimed,precheck,n,success_n,SR,AEFR,FRRMA,ETFR,Average Steps,task_name_macro_SR,SR_cluster_ci_low,SR_cluster_ci_high,task_name_clusters
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,312,10,0.03205128205128205,0.0,0.5352564102564102,0.4326923076923077,10.48076923076923,0.05078125,0.0,0.08333333333333333,6
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,312,195,0.625,0.02564102564102564,0.23076923076923078,0.11858974358974358,4.746794871794871,0.5744791666666667,0.4772727272727273,0.7687177201180523,6
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,312,246,0.7884615384615384,0.016025641025641024,0.17307692307692307,0.022435897435897436,4.381410256410256,0.8452256944444444,0.6098130841121495,0.973404255319149,6
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,312,234,0.75,0.04487179487179487,0.18269230769230768,0.022435897435897436,4.916666666666667,0.7092881944444445,0.6127450980392157,0.8947368421052632,6
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,312,279,0.8942307692307693,0.019230769230769232,0.0,0.08653846153846154,3.391025641025641,0.8419270833333333,0.6818181818181818,0.9901315789473685,6
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,312,192,0.6153846153846154,0.003205128205128205,0.2532051282051282,0.1282051282051282,4.871794871794871,0.5761284722222222,0.4375,0.7927631578947368,6
state_change_task,single-prompt/gpt-4o/no-precheck,single-prompt,gpt-4o,False,312,237,0.7596153846153846,0.016025641025641024,0.1891025641025641,0.035256410256410256,4.448717948717949,0.7998263888888889,0.572429906542056,0.9571428571428572,6
state_change_task,multi-prompts/gpt-4o-mini/no-precheck,multi-prompts,gpt-4o-mini,False,312,217,0.6955128205128205,0.016025641025641024,0.2532051282051282,0.035256410256410256,5.080128205128205,0.6856770833333333,0.47435897435897434,0.9276315789473685,6
state_change_task,multi-prompts/gpt-4o/no-precheck,multi-prompts,gpt-4o,False,312,272,0.8717948717948718,0.009615384615384616,0.016025641025641024,0.10256410256410256,3.4775641025641026,0.7950520833333333,0.6477272727272727,0.9671052631578947,6
placement_task,baseline/gpt-4o,baseline,gpt-4o,,103,0,0.0,0.009708737864077669,0.5728155339805825,0.4174757281553398,15.398058252427184,0,0.0,0.0,38
placement_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,103,48,0.46601941747572817,0.14563106796116504,0.02912621359223301,0.3592233009708738,7.281553398058253,0.3837719298245614,0.3406534954407295,0.5833333333333334,38
placement_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,103,76,0.7378640776699029,0.11650485436893204,0.02912621359223301,0.11650485436893204,8.077669902912621,0.6337719298245614,0.6410194174757282,0.8230218636127017,38
placement_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,103,42,0.4077669902912621,0.11650485436893204,0.02912621359223301,0.44660194174757284,6.446601941747573,0.42280701754385963,0.3,0.5222297297297298,38
placement_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,103,84,0.8155339805825242,0.11650485436893204,0.019417475728155338,0.04854368932038835,8.271844660194175,0.6348684210526315,0.7111111111111111,0.8905138001824818,38
placement_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,103,49,0.47572815533980584,0.11650485436893204,0.019417475728155338,0.3883495145631068,6.592233009708738,0.4199561403508772,0.3563218390804598,0.5882490379329303,38
placement_task,single-prompt/gpt-4o/no-precheck,single-prompt,gpt-4o,False,103,70,0.6796116504854369,0.1650485436893204,0.02912621359223301,0.1262135922330097,7.320388349514563,0.5423245614035088,0.552621759622938,0.7862611730932342,38
placement_task,multi-prompts/gpt-4o-mini/no-precheck,multi-prompts,gpt-4o-mini,False,103,45,0.4368932038834951,0.1262135922330097,0.009708737864077669,0.42718446601941745,6.135922330097087,0.39978070175438596,0.32999175824175825,0.5462296918767506,38
placement_task,multi-prompts/gpt-4o/no-precheck,multi-prompts,gpt-4o,False,103,82,0.7961165048543689,0.11650485436893204,0.02912621359223301,0.05825242718446602,7.766990291262136,0.6480263157894737,0.6966292134831461,0.8773584905660378,38
