model,kind,repeat,n_labeled,unknown_excluded,tp,tn,fp,fn,accuracy,precision,recall,false_acceptance_rate,false_rejection_rate,noncanonical_format_count
gpt-4o-mini-2024-07-18,precondition,0,24,4,8,9,7,0,0.7083333333333334,0.5333333333333333,1.0,0.4375,0.0,3
gpt-4o-mini-2024-07-18,precondition,all,72,12,24,27,21,0,0.7083333333333334,0.5333333333333333,1.0,0.4375,0.0,9
gpt-4o-2024-08-06,precondition,0,24,4,8,10,6,0,0.75,0.5714285714285714,1.0,0.375,0.0,6
gpt-4o-2024-08-06,precondition,all,72,12,24,29,19,0,0.7361111111111112,0.5581395348837209,1.0,0.3958333333333333,0.0,14
gpt-4o-mini-2024-07-18,termination,0,16,0,8,6,2,0,0.875,0.8,1.0,0.25,0.0,0
gpt-4o-mini-2024-07-18,termination,all,48,0,24,18,6,0,0.875,0.8,1.0,0.25,0.0,0
gpt-4o-2024-08-06,termination,0,16,0,8,8,0,0,1.0,1.0,1.0,0.0,0.0,0
gpt-4o-2024-08-06,termination,all,48,0,24,24,0,0,1.0,1.0,1.0,0.0,0.0,0
gpt-4o-mini-2024-07-18,precondition,1,24,4,8,9,7,0,0.7083333333333334,0.5333333333333333,1.0,0.4375,0.0,3
gpt-4o-2024-08-06,precondition,1,24,4,8,9,7,0,0.7083333333333334,0.5333333333333333,1.0,0.4375,0.0,5
gpt-4o-mini-2024-07-18,termination,1,16,0,8,6,2,0,0.875,0.8,1.0,0.25,0.0,0
gpt-4o-2024-08-06,termination,1,16,0,8,8,0,0,1.0,1.0,1.0,0.0,0.0,0
gpt-4o-mini-2024-07-18,precondition,2,24,4,8,9,7,0,0.7083333333333334,0.5333333333333333,1.0,0.4375,0.0,3
gpt-4o-2024-08-06,precondition,2,24,4,8,10,6,0,0.75,0.5714285714285714,1.0,0.375,0.0,3
gpt-4o-mini-2024-07-18,termination,2,16,0,8,6,2,0,0.875,0.8,1.0,0.25,0.0,0
gpt-4o-2024-08-06,termination,2,16,0,8,8,0,0,1.0,1.0,1.0,0.0,0.0,0
