task_type,policy,repeat,n,mean_cosine,mean_example_length,mean_example_chars,mean_same_object,mean_same_operation,mean_same_destination
state_change_task,semantic,0,312,0.6242860746689332,5.923076923076923,232.21794871794873,0.10256410256410256,0.8974358974358975,
state_change_task,random,0,312,0.4906924072748575,5.333333333333333,211.60256410256412,0.019230769230769232,0.5,
state_change_task,random,1,312,0.4934113296942833,5.243589743589744,208.49358974358975,0.016025641025641024,0.5192307692307693,
state_change_task,random,2,312,0.4896567686437032,5.211538461538462,206.80769230769232,0.022435897435897436,0.4967948717948718,
state_change_task,fixed,0,312,0.5378686969096844,6.0,225.0,0.0,0.5512820512820513,
state_change_task,none,0,312,,0.0,0.0,,,
placement_task,semantic,0,103,0.7813386685639909,11.805825242718447,458.09708737864077,0.8932038834951457,0.5436893203883495,0.10679611650485436
placement_task,random,0,103,0.490158849549525,16.320388349514563,605.5145631067961,0.11650485436893204,0.47572815533980584,0.1650485436893204
placement_task,random,1,103,0.4711442983266219,17.320388349514563,637.0582524271845,0.038834951456310676,0.5048543689320388,0.20388349514563106
placement_task,random,2,103,0.47258050869969487,16.339805825242717,603.8932038834952,0.07766990291262135,0.47572815533980584,0.21359223300970873
placement_task,fixed,0,103,0.4710663733551803,53.0,1794.0,0.009708737864077669,0.7281553398058253,0.2524271844660194
placement_task,none,0,103,,0.0,0.0,,,
