model,arm,subset,n,successes,SR,final_goal_satisfied,mean_saved_actions_all,mean_saved_actions_success_only,success_nonzero_length_ratio_n,mean_success_nonzero_length_ratio,failed_executions,api_calls,input_tokens,output_tokens,estimated_usd,mean_seconds
gpt-4o-2024-08-06,C0_no_precheck,all_four_diagnostic,12,9,0.75,9,4.0,4.333333333333333,6,1.0694444444444444,3,111,35603,699,0.0959975,14.668098934666583
gpt-4o-2024-08-06,C0_no_precheck,reference_passed_only,9,9,1.0,9,4.333333333333333,4.333333333333333,6,1.0694444444444444,0,87,27455,525,0.0738875,15.14097887244457
gpt-4o-2024-08-06,C1_budgeted,all_four_diagnostic,12,11,0.9166666666666666,11,4.416666666666667,4.545454545454546,8,0.9305555555555556,1,281,96100,5087,0.29112,26.476923388249514
gpt-4o-2024-08-06,C1_budgeted,reference_passed_only,9,9,1.0,9,3.7777777777777777,3.7777777777777777,6,0.9074074074074074,0,179,59320,3113,0.17943,22.51453385377762
gpt-4o-2024-08-06,C1_llm_precheck,all_four_diagnostic,12,9,0.75,9,4.25,4.666666666666667,6,1.125,3,181,51800,900,0.1385,18.618914815
gpt-4o-2024-08-06,C1_llm_precheck,reference_passed_only,9,9,1.0,9,4.666666666666667,4.666666666666667,6,1.125,0,145,41477,713,0.1108225,19.565536180888657
gpt-4o-2024-08-06,C2_symbolic_precheck,all_four_diagnostic,12,10,0.8333333333333334,10,6.0,5.7,7,1.2023809523809526,2,175,65874,1291,0.177595,19.994431174332323
gpt-4o-2024-08-06,C2_symbolic_precheck,reference_passed_only,9,9,1.0,9,5.222222222222222,5.222222222222222,6,1.1944444444444444,0,114,41737,847,0.1128125,16.949949274554253
gpt-4o-2024-08-06,C3_execution_feedback,all_four_diagnostic,12,9,0.75,9,4.166666666666667,4.222222222222222,6,1.0277777777777777,9,121,41579,843,0.11237749999999999,15.13551309950041
gpt-4o-2024-08-06,C3_execution_feedback,reference_passed_only,9,9,1.0,9,4.222222222222222,4.222222222222222,6,1.0277777777777777,0,85,26840,515,0.07225,14.231251539111932
gpt-4o-2024-08-06,C4_budgeted,all_four_diagnostic,12,10,0.8333333333333334,10,3.9166666666666665,3.9,7,0.869047619047619,2,255,86684,4663,0.26334,24.602142323834414
gpt-4o-2024-08-06,C4_budgeted,reference_passed_only,9,9,1.0,9,3.6666666666666665,3.6666666666666665,6,0.8888888888888888,0,174,58326,3111,0.176925,22.388765460667653
gpt-4o-2024-08-06,C5_full_graph,all_four_diagnostic,12,9,0.75,9,4.916666666666667,5.222222222222222,6,1.1944444444444444,3,148,54429,1035,0.1464225,17.152630761417942
gpt-4o-2024-08-06,C5_full_graph,reference_passed_only,9,9,1.0,9,5.222222222222222,5.222222222222222,6,1.1944444444444444,0,115,42321,795,0.1137525,17.276290340556848
gpt-4o-2024-08-06,R_fixed,all_four_diagnostic,12,9,0.75,9,4.25,4.666666666666667,6,1.125,3,195,87073,1199,0.2296725,19.399281804833056
gpt-4o-2024-08-06,R_fixed,reference_passed_only,9,9,1.0,9,4.666666666666667,4.666666666666667,6,1.125,0,159,68854,1013,0.182265,20.474471803000295
gpt-4o-2024-08-06,R_none,all_four_diagnostic,12,3,0.25,3,0.0,0.0,0,,9,30,6237,96,0.0165525,4.223281951749716
gpt-4o-2024-08-06,R_none,reference_passed_only,9,3,0.3333333333333333,3,0.0,0.0,0,,6,21,4272,66,0.01134,4.134695208444707
gpt-4o-2024-08-06,R_random,all_four_diagnostic,12,9,0.75,9,4.083333333333333,4.444444444444445,6,1.111111111111111,3,173,48561,864,0.1300425,17.710586278415576
gpt-4o-2024-08-06,R_random,reference_passed_only,9,9,1.0,9,4.444444444444445,4.444444444444445,6,1.111111111111111,0,137,38010,678,0.101805,18.294763137777206
gpt-4o-mini-2024-07-18,C0_no_precheck,all_four_diagnostic,12,8,0.6666666666666666,8,3.5,3.875,5,1.1333333333333333,3,99,31090,601,0.0050241,13.60680502850058
